fen,eval
r1b1kbnr/pp2ppp1/1q6/2ppn2p/4PB2/3P1N2/PPPN1PPP/R2QKBR1 w Qkq - 2 7,3.8100
r1b1kbnr/pp2ppp1/1q6/2ppn2p/4PB2/3P1N2/PPPNBPPP/R2QK1R1 b Qkq - 3 7,-0.2400
r3kbnr/pp2ppp1/1q6/2ppn2p/4PB2/3P1N1b/PPPNBPPP/R2QK1R1 w Qkq - 4 8,5.3600
r3kbnr/pp2ppp1/1q6/2ppn2p/4P3/3P1NBb/PPPNBPPP/R2QK1R1 b Qkq - 5 8,1.1600
r3kbnr/pp2ppp1/8/1qppn2p/4P3/3P1NBb/PPPNBPPP/R2QK1R1 w Qkq - 6 9,5.6100
r3kbnr/pp2ppp1/8/1qppn2p/4P3/3P1NBP/PPPNBP1P/R2QK1R1 b Qkq - 0 9,5.3200
r3kbnr/pp2ppp1/8/2ppn2p/4P3/1q1P1NBP/PPPNBP1P/R2QK1R1 w Qkq - 1 10,9.1500
r3kbnr/pp2ppp1/8/2ppn2p/4P3/1P1P1NBP/PP1NBP1P/R2QK1R1 b Qkq - 0 10,9.4100
2kr1bnr/pp2ppp1/8/2ppn2p/4P3/1P1P1NBP/PP1NBP1P/R2QK1R1 w Q - 1 11,9.6600
2kr1bnr/pp2ppp1/8/2ppn2p/4P3/1P1P1NBP/PP2BP1P/R2QKNR1 b Q - 2 11,8.4800
2kr1bnr/p3ppp1/8/1pppn2p/4P3/1P1P1NBP/PP2BP1P/R2QKNR1 w Q - 0 12,9.3500
2kr1bnr/p3ppp1/8/1pppn2p/4P3/1P1P1NBP/PP2BP1P/R1Q1KNR1 b Q - 1 12,9.3800
3r1bnr/p1k1ppp1/8/1pppn2p/4P3/1P1P1NBP/PP2BP1P/R1Q1KNR1 w Q - 2 13,11.0800
3r1bnr/p1k1ppp1/8/1pppn2p/2Q1P3/1P1P1NBP/PP2BP1P/R3KNR1 b Q - 3 13,7.4300
3r1bnr/p1k1p1p1/5p2/1pppn2p/2Q1P3/1P1P1NBP/PP2BP1P/R3KNR1 w Q - 0 14,10.4400
3r1bnr/p1k1p1p1/5p2/1pppn2p/2Q1P2N/1P1P2BP/PP2BP1P/R3KNR1 b Q - 1 14,5.3300
3r1bnr/p1k1p1p1/5p2/2ppn2p/1pQ1P2N/1P1P2BP/PP2BP1P/R3KNR1 w Q - 0 15,10.1600
3r1bnr/p1k1p1p1/5p2/2ppn2p/1p2P2N/1P1P2BP/PP2BP1P/R1Q1KNR1 b Q - 1 15,9.5500
3r1bnr/2k1p1p1/5p2/p1ppn2p/1p2P2N/1P1P2BP/PP2BP1P/R1Q1KNR1 w Q - 0 16,10.2800
3r1bnr/2k1p1p1/5p2/p1ppn2B/1p2P2N/1P1P2BP/PP3P1P/R1Q1KNR1 b Q - 0 16,8.4900
3r1bnr/1k2p1p1/5p2/p1ppn2B/1p2P2N/1P1P2BP/PP3P1P/R1Q1KNR1 w Q - 1 17,7.9900
3r1bnr/1k2p1p1/5p2/p1Qpn2B/1p2P2N/1P1P2BP/PP3P1P/R3KNR1 b Q - 0 17,3.8700
1r3bnr/1k2p1p1/5p2/p1Qpn2B/1p2P2N/1P1P2BP/PP3P1P/R3KNR1 w Q - 1 18,9.8000
1r3bnr/1k2p1p1/5p2/p1Qpn2B/1p2P2N/PP1P2BP/1P3P1P/R3KNR1 b Q - 0 18,4.7800
1r3bnr/1k2p1p1/5p2/p1Qp3B/1p2P1nN/PP1P2BP/1P3P1P/R3KNR1 w Q - 1 19,13.5100
1r3bnr/1k2p1p1/5p2/p2p3B/1p2P1nN/PPQP2BP/1P3P1P/R3KNR1 b Q - 2 19,6.1800
2r2bnr/1k2p1p1/5p2/p2p3B/1p2P1nN/PPQP2BP/1P3P1P/R3KNR1 w Q - 3 20,9.7100
2r2bnr/1k2p1p1/5p2/p2p3B/1pQ1P1nN/PP1P2BP/1P3P1P/R3KNR1 b Q - 4 20,8.1100
r4bnr/1k2p1p1/5p2/p2p3B/1pQ1P1nN/PP1P2BP/1P3P1P/R3KNR1 w Q - 5 21,10.0000
r3Bbnr/1k2p1p1/5p2/p2p4/1pQ1P1nN/PP1P2BP/1P3P1P/R3KNR1 b Q - 6 21,5.9500
r3Bbnr/1k2p3/5p2/p2p2p1/1pQ1P1nN/PP1P2BP/1P3P1P/R3KNR1 w Q - 0 22,10.7500
r3Bbnr/1k2p3/5p2/p2p2p1/1p2P1nN/PP1P2BP/1P3P1P/R1Q1KNR1 b Q - 1 22,8.2100
r3Bbnr/1k6/5p2/p2pp1p1/1p2P1nN/PP1P2BP/1P3P1P/R1Q1KNR1 w Q - 0 23,9.6100
r3Bbnr/1k6/5p2/p2pp1p1/1p2P1nN/PPQP2BP/1P3P1P/R3KNR1 b Q - 1 23,2.5100
r3B1nr/1k6/3b1p2/p2pp1p1/1p2P1nN/PPQP2BP/1P3P1P/R3KNR1 w Q - 2 24,10.5000
r3B1nr/1k6/3b1p2/p2pp1p1/1pQ1P1nN/PP1P2BP/1P3P1P/R3KNR1 b Q - 3 24,4.9200
r3B1n1/1k6/3b1p2/p2pp1p1/1pQ1P1nr/PP1P2BP/1P3P1P/R3KNR1 w Q - 0 25,9.3400
r3B1n1/1k6/3b1p2/pQ1pp1p1/1p2P1nr/PP1P2BP/1P3P1P/R3KNR1 b Q - 1 25,9.7700
r3B1n1/k7/3b1p2/pQ1pp1p1/1p2P1nr/PP1P2BP/1P3P1P/R3KNR1 w Q - 2 26,9.9100
r3B1n1/k7/3b1p2/pQ1pp1p1/1p2P1nr/PP1P2BP/1P3P1P/R2K1NR1 b - - 3 26,7.7300
r3B1nr/k7/3b1p2/pQ1pp1p1/1p2P1n1/PP1P2BP/1P3P1P/R2K1NR1 w - - 4 27,9.9600
r3B1nr/k7/3b1p2/p1Qpp1p1/1p2P1n1/PP1P2BP/1P3P1P/R2K1NR1 b - - 5 27,1.8300
r3B1nr/1k6/3b1p2/p1Qpp1p1/1p2P1n1/PP1P2BP/1P3P1P/R2K1NR1 w - - 6 28,9.9600
r3B1nr/1k6/3b1p2/pQ1pp1p1/1p2P1n1/PP1P2BP/1P3P1P/R2K1NR1 b - - 7 28,10.0500
r3B1nr/k7/3b1p2/pQ1pp1p1/1p2P1n1/PP1P2BP/1P3P1P/R2K1NR1 w - - 8 29,10.9500
r3B1nr/k7/3b1p2/pQ1pp1p1/Pp2P1n1/1P1P2BP/1P3P1P/R2K1NR1 b - - 0 29,6.8300
r3B1nr/k7/3b4/pQ1pppp1/Pp2P1n1/1P1P2BP/1P3P1P/R2K1NR1 w - - 0 30,9.7800
r3B1nr/k7/3b4/pQ1pppp1/Pp2P1n1/1P1P2BP/1P1K1P1P/R4NR1 b - - 1 30,7.2300
r3B1n1/k7/3b4/pQ1ppppr/Pp2P1n1/1P1P2BP/1P1K1P1P/R4NR1 w - - 2 31,10.2500
r3B1n1/k7/3b4/pQ1ppppr/Pp2P1n1/1P1P2BP/1P1K1P1P/1R3NR1 b - - 3 31,7.2900
rnbqkb1r/p1pppppp/1p5n/6N1/7P/8/PPPPPPP1/RNBQKB1R b KQkq - 0 3,-0.0200
rnbqkb1r/p1p1pppp/1p5n/3p2N1/7P/8/PPPPPPP1/RNBQKB1R w KQkq - 0 4,0.0900
rnbqkb1r/p1p1pppp/1p2N2n/3p4/7P/8/PPPPPPP1/RNBQKB1R b KQkq - 1 4,-4.2800
r1bqkb1r/p1p1pppp/1pn1N2n/3p4/7P/8/PPPPPPP1/RNBQKB1R w KQkq - 2 5,5.1200
r1bqkb1r/p1p1pppp/1pn1N2n/3p4/7P/3P4/PPP1PPP1/RNBQKB1R b KQkq - 0 5,-4.2100
r2qkb1r/p1pbpppp/1pn1N2n/3p4/7P/3P4/PPP1PPP1/RNBQKB1R w KQkq - 1 6,5.4700
r2qkb1r/p1pbpppp/1pn1N2n/3p4/7P/3P4/PPPNPPP1/R1BQKB1R b KQkq - 2 6,-4.5300
r2qkb1r/p1pbpppp/1pn1N3/3p1n2/7P/3P4/PPPNPPP1/R1BQKB1R w KQkq - 3 7,5.3500
r2qkb1r/p1pbpppp/1pn1N3/3p1n2/7P/1N1P4/PPP1PPP1/R1BQKB1R b KQkq - 4 7,-3.4600
r2qkb1r/p1pbpppp/1pn1N3/3p4/7P/1N1P2n1/PPP1PPP1/R1BQKB1R w KQkq - 5 8,5.3200
r2qkb1r/p1pbpppp/1pn1N3/3p4/4P2P/1N1P2n1/PPP2PP1/R1BQKB1R b KQkq - 0 8,-0.6900
r2qkb1r/p1pbpppp/2n1N3/1p1p4/4P2P/1N1P2n1/PPP2PP1/R1BQKB1R w KQkq - 0 9,5.1300
r2qkb1r/p1pbpppp/2n1N3/1pNp4/4P2P/3P2n1/PPP2PP1/R1BQKB1R b KQkq - 1 9,0.2800
r2qkb1r/p1pbpppp/2n1N3/1pNp3n/4P2P/3P4/PPP2PP1/R1BQKB1R w KQkq - 2 10,6.4700
r2qkb1r/p1pbpppp/2n1N3/1pNp3n/4P1PP/3P4/PPP2P2/R1BQKB1R b KQkq - 0 10,1.5000
r2qkb1r/2pbpppp/p1n1N3/1pNp3n/4P1PP/3P4/PPP2P2/R1BQKB1R w KQkq - 0 11,6.5600
r2qkb1r/2pbpppp/p1n1N3/1pNP3n/6PP/3P4/PPP2P2/R1BQKB1R b KQkq - 0 11,2.2100
r2qkb1r/2pbpppp/p3N3/1pNPn2n/6PP/3P4/PPP2P2/R1BQKB1R w KQkq - 1 12,4.2300
r2qkb1r/2pbppNp/p7/1pNPn2n/6PP/3P4/PPP2P2/R1BQKB1R b KQkq - 0 12,-1.6600
r2qkb1r/2pbppnp/p7/1pNPn3/6PP/3P4/PPP2P2/R1BQKB1R w KQkq - 0 13,-1.3700
r2qkb1r/2pbppnp/p7/1pNPn3/P5PP/3P4/1PP2P2/R1BQKB1R b KQkq - 0 13,-4.4900
1r1qkb1r/2pbppnp/p7/1pNPn3/P5PP/3P4/1PP2P2/R1BQKB1R w KQk - 1 14,-1.2300
1r1qkb1r/2pbppnp/N7/1p1Pn3/P5PP/3P4/1PP2P2/R1BQKB1R b KQk - 0 14,-2.4800
1rq1kb1r/2pbppnp/N7/1p1Pn3/P5PP/3P4/1PP2P2/R1BQKB1R w KQk - 1 15,1.6800
1rq1kb1r/2pbppnp/N7/1p1Pn3/P5PP/3PB3/1PP2P2/R2QKB1R b KQk - 2 15,-3.4700
1rq1kb1r/2pbppnp/N7/3Pn3/Pp4PP/3PB3/1PP2P2/R2QKB1R w KQk - 0 16,1.8300
1rq1kb1r/B1pbppnp/N7/3Pn3/Pp4PP/3P4/1PP2P2/R2QKB1R b KQk - 1 16,-2.0000
1rq1kb1r/B2bppnp/N7/2pPn3/Pp4PP/3P4/1PP2P2/R2QKB1R w KQk c6 0 17,3.0800
1Bq1kb1r/3bppnp/N7/2pPn3/Pp4PP/3P4/1PP2P2/R2QKB1R b KQk - 0 17,3.0000
1Bq1kb1r/3bppnp/N7/2pP4/Pp4PP/3P1n2/1PP2P2/R2QKB1R w KQk - 1 18,4.2300
1Bq1kb1r/3bppnp/N7/2pP4/Pp4PP/3P1Q2/1PP2P2/R3KB1R b KQk - 0 18,4.3300
1B2kb1r/2qbppnp/N7/2pP4/Pp4PP/3P1Q2/1PP2P2/R3KB1R w KQk - 1 19,9.1500
rnbqkbnr/pppp1pp1/4p2p/8/6P1/2P5/PP1PPPBP/RNBQK1NR b KQkq - 1 3,-0.5300
rnbqkbnr/p1pp1pp1/4p2p/1p6/6P1/2P5/PP1PPPBP/RNBQK1NR w KQkq - 0 4,3.9400
rnbqkbnr/p1pp1pp1/2B1p2p/1p6/6P1/2P5/PP1PPP1P/RNBQK1NR b KQkq - 1 4,-6.0000
rnb1kbnr/p1pp1pp1/2B1p2p/1p6/6Pq/2P5/PP1PPP1P/RNBQK1NR w KQkq - 2 5,3.7200
rnb1kbnr/p1pp1pp1/2B1p2p/1p6/6Pq/2P5/PP1PPP1P/RNBQ1KNR b kq - 3 5,-5.1900
rnb1kbnr/p1pp1pp1/2B1pq1p/1p6/6P1/2P5/PP1PPP1P/RNBQ1KNR w kq - 4 6,3.8900
rnb1kbnr/p1pp1pp1/4pq1p/1p6/4B1P1/2P5/PP1PPP1P/RNBQ1KNR b kq - 5 6,-0.9300
rnb1kbnr/p1pp1pp1/4p2p/1p6/4B1Pq/2P5/PP1PPP1P/RNBQ1KNR w kq - 6 7,3.4000
rnb1kbnr/p1pp1pp1/4p2p/1p4P1/4B2q/2P5/PP1PPP1P/RNBQ1KNR b kq - 0 7,-5.2700
rnb1kbnr/2pp1pp1/p3p2p/1p4P1/4B2q/2P5/PP1PPP1P/RNBQ1KNR w kq - 0 8,2.9700
rnb1kbnr/2pp1pp1/p3p2p/1p1B2P1/7q/2P5/PP1PPP1P/RNBQ1KNR b kq - 1 8,-5.1900
rnb1kbnr/2pp1pp1/p3p3/1p1B2p1/7q/2P5/PP1PPP1P/RNBQ1KNR w kq - 0 9,2.6100
rnb1kbnr/2pp1pp1/p3p3/1p1B2p1/7q/2P4P/PP1PPP2/RNBQ1KNR b kq - 0 9,-5.0700
rnb1kbnr/2pp1pp1/p3p3/1p1B2p1/8/2P4P/PP1PPq2/RNBQ1KNR w kq - 0 10,3.5700
rnb1kbnr/2pp1pp1/p3p3/1p1B2p1/8/2P4P/PP1PPK2/RNBQ2NR b kq - 0 10,3.9700
rnb1kbnr/2p2pp1/p2pp3/1p1B2p1/8/2P4P/PP1PPK2/RNBQ2NR w kq - 0 11,5.8800
rnb1kbnr/2p2pp1/p2pp3/1p1B2p1/3P4/2P4P/PP2PK2/RNBQ2NR b kq - 0 11,4.4000
rnb1kbn1/2p2ppr/p2pp3/1p1B2p1/3P4/2P4P/PP2PK2/RNBQ2NR w q - 1 12,6.8100
rnb1kbn1/2p2ppr/p2pp3/1p1B2p1/3P4/2P4P/PP1BPK2/RN1Q2NR b q - 2 12,4.6900
rn2kbn1/1bp2ppr/p2pp3/1p1B2p1/3P4/2P4P/PP1BPK2/RN1Q2NR w q - 3 13,7.3700
rn2kbn1/1bp2ppr/p2pp3/1p1B2p1/3P4/2P4P/PP1BPK2/RN2Q1NR b q - 4 13,4.7100
1n2kbn1/rbp2ppr/p2pp3/1p1B2p1/3P4/2P4P/PP1BPK2/RN2Q1NR w - - 5 14,5.9400
1n2kbn1/rbp2ppr/p2pp3/1p1B2p1/2PP4/7P/PP1BPK2/RN2Q1NR b - - 0 14,4.8000
1n2kb2/rbp1nppr/p2pp3/1p1B2p1/2PP4/7P/PP1BPK2/RN2Q1NR w - - 1 15,5.9700
1n2kb2/rbp1nppr/p2pp3/1p4p1/2PP4/7P/PP1BPKB1/RN2Q1NR b - - 2 15,5.8900
1n2kb2/rbp1nppr/3pp3/pp4p1/2PP4/7P/PP1BPKB1/RN2Q1NR w - - 0 16,6.5600
1n2kb2/rbp1nppr/3pp3/Bp4p1/2PP4/7P/PP2PKB1/RN2Q1NR b - - 0 16,4.4600
1n2kbn1/rbp2ppr/3pp3/Bp4p1/2PP4/7P/PP2PKB1/RN2Q1NR w - - 1 17,6.8600
1n2kbn1/rbp2ppr/3pp3/Bp4p1/2PP4/7P/PP2PKB1/RNQ3NR b - - 2 17,5.7800
1n2kb2/rbp2ppr/3ppn2/Bp4p1/2PP4/7P/PP2PKB1/RNQ3NR w - - 3 18,6.2500
1n2kb2/rbp2ppr/3ppn2/Bp4p1/2PP4/7P/PP2PK2/RNQ2BNR b - - 4 18,2.6600
1n1k1b2/rbp2ppr/3ppn2/Bp4p1/2PP4/7P/PP2PK2/RNQ2BNR w - - 5 19,4.8900
1n1k1b2/rbp2ppr/3ppn2/Bp4p1/2PP4/6KP/PP2P3/RNQ2BNR b - - 6 19,2.9800
1n1k1b2/1bp2ppr/r2ppn2/Bp4p1/2PP4/6KP/PP2P3/RNQ2BNR w - - 7 20,5.3200
1n1k1b2/1bp2ppr/r2ppn2/Bp4p1/2PP3P/6K1/PP2P3/RNQ2BNR b - - 0 20,2.5800
1n1k1b2/rbp2ppr/3ppn2/Bp4p1/2PP3P/6K1/PP2P3/RNQ2BNR w - - 1 21,3.8500
1n1k1b2/rbp2ppr/3ppn2/Bp4P1/2PP4/6K1/PP2P3/RNQ2BNR b - - 0 21,2.9400
1n1k1b2/rbp2ppr/3pp3/Bp4P1/2PP2n1/6K1/PP2P3/RNQ2BNR w - - 1 22,5.4200
1n1k1b2/rbp2ppr/3pp3/Bp4P1/2PP2n1/4P1K1/PP6/RNQ2BNR b - - 0 22,2.8200
1n1k1b2/r1p2ppr/3pp3/Bp4P1/2PP2n1/4PbK1/PP6/RNQ2BNR w - - 1 23,5.4100
1n1k1b2/r1p2ppr/1B1pp3/1p4P1/2PP2n1/4PbK1/PP6/RNQ2BNR b - - 2 23,4.0700
1n1k1b2/r1p2pp1/1B1pp3/1p4P1/2PP2n1/4PbKr/PP6/RNQ2BNR w - - 3 24,6.5300
1n1k1b2/r1p2pp1/1B1pp3/1p4P1/2PP1Kn1/4Pb1r/PP6/RNQ2BNR b - - 4 24,-10.0000
1n1k1b2/rbp2pp1/1B1pp3/1p4P1/2PP1Kn1/4P2r/PP6/RNQ2BNR w - - 5 25,6.0900
1n1k1b2/rbp2pp1/1B1pp3/1p4P1/2PP1Kn1/4P2B/PP6/RNQ3NR b - - 0 25,5.3700
1n1k1b2/rbp3p1/1B1ppp2/1p4P1/2PP1Kn1/4P2B/PP6/RNQ3NR w - - 0 26,6.7100
1n1k1b2/rbp3p1/1B1ppp2/1p4P1/2PPPKn1/7B/PP6/RNQ3NR b - - 0 26,5.8900
1n1k1b2/rbp3p1/1B1ppp2/1p4P1/2PPPK2/7B/PP3n2/RNQ3NR w - - 1 27,6.2200
1n1k1b2/rbp3p1/1B1ppp2/1p4P1/2PPPK2/4Q2B/PP3n2/RN4NR b - - 2 27,5.6000
1n1k1b2/rbp3p1/1B1ppp2/6P1/2pPPK2/4Q2B/PP3n2/RN4NR w - - 0 28,6.7800
1n1k1b2/rbp3p1/1B1pBp2/6P1/2pPPK2/4Q3/PP3n2/RN4NR b - - 0 28,5.7500
1n1k1b2/rbp5/1B1pBpp1/6P1/2pPPK2/4Q3/PP3n2/RN4NR w - - 0 29,7.1900
1n1k1b2/rbp5/1B1p1pp1/3B2P1/2pPPK2/4Q3/PP3n2/RN4NR b - - 1 29,5.9600
rnbqkbnr/p1ppp1pp/1p3p2/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 3,0.5300
rnbqkbnr/2ppp1pp/1p3p2/p7/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 4,3.5600
rnbqkbnr/2ppp1pp/1p3p2/p7/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq - 1 4,1.3600
rnbqkbnr/2ppp2p/1p3pp1/p7/2B1P3/2N5/PPPP1PPP/R1BQK1NR w KQkq - 0 5,1.6000
rnbqkbnr/2ppp2p/1p3pp1/p7/2B1P3/1PN5/P1PP1PPP/R1BQK1NR b KQkq - 0 5,1.0200
rnbqkbnr/2pp3p/1p2ppp1/p7/2B1P3/1PN5/P1PP1PPP/R1BQK1NR w KQkq - 0 6,1.4600
rnbqkbnr/2pp3p/1p2ppp1/p7/2B1P3/1PN5/P1PP1PPP/R1BQ1KNR b kq - 1 6,0.6400
rnbqkbnr/2pp4/1p2pppp/p7/2B1P3/1PN5/P1PP1PPP/R1BQ1KNR w kq - 0 7,0.8000
rnbqkbnr/2pp4/1p2pppp/p7/2B1PP2/1PN5/P1PP2PP/R1BQ1KNR b kq - 0 7,0.0300
rnbqk1nr/2pp4/1p2pppp/p1b5/2B1PP2/1PN5/P1PP2PP/R1BQ1KNR w kq - 1 8,1.5800
rnbqk1nr/2pp4/1p2pppp/p1b5/2B1PP2/1PN5/P1PP2PP/R1BQK1NR b kq - 2 8,0.5900
rnbqk1n1/2pp3r/1p2pppp/p1b5/2B1PP2/1PN5/P1PP2PP/R1BQK1NR w q - 3 9,1.5500
rnbqk1n1/2pp3r/1p2pppp/p1b5/2B1PP2/1P6/P1PPN1PP/R1BQK1NR b q - 4 9,0.2600
rn1qk1n1/2pp3r/bp2pppp/p1b5/2B1PP2/1P6/P1PPN1PP/R1BQK1NR w q - 5 10,1.4400
rn1qk1n1/2pp3r/bp2pppp/p1b5/2B1PP2/1P3N2/P1PPN1PP/R1BQK2R b q - 6 10,0.5800
rn1qk1n1/2pp3r/bp3ppp/p1b1p3/2B1PP2/1P3N2/P1PPN1PP/R1BQK2R w q - 0 11,4.1400
